,closed,share
 Fantasy Sports ,1,0.03932785126921702
 iPad ,1,0.053628888094386845
 Medical ,1,0.328923846978906
 Beauty ,1,0.07150518412584912
 Life Sciences ,1,0.053628888094386845
 Price Comparison ,1,0.053628888094386845
 Visual Search ,1,0.021451555237754737
 Wine And Spirits ,1,0.028602073650339652
 Environmental Innovation ,1,0.028602073650339652
 Surveys ,1,0.014301036825169826
 Flash Storage ,1,0.03575259206292456
 PaaS ,1,0.07508044333214159
 Mobile Video ,1,0.014301036825169826
 Game ,1,0.04647836968180193
 Interest Graph ,1,0.01787629603146228
 Toys ,1,0.01787629603146228
 Outsourcing ,1,0.04647836968180193
 Ticketing ,1,0.06792992491955667
 Wireless ,1,0.19306399713979264
 Telephony ,1,0.010725777618877368
 Consumer Electronics ,1,0.20021451555237757
 Architecture ,1,0.007150518412584913
 Social Search ,1,0.03932785126921702
 Postal and Courier Services ,1,0.021451555237754737
 Virtual Worlds ,1,0.03932785126921702
 Private Social Networking ,1,0.028602073650339652
 Market Research ,1,0.08580622095101895
 FreetoPlay Gaming ,1,0.014301036825169826
 MMO Games ,1,0.028602073650339652
 Venture Capital ,1,0.10010725777618878
 Collaboration ,1,0.15731140507686808
 Customer Service ,1,0.1287093314265284
 Social Media Advertising ,1,0.0321773328566321
 Kids ,1,0.07508044333214159
 Crowdfunding ,1,0.07508044333214159
 Banking ,1,0.0822309617447265
 VoIP ,1,0.06077940650697176
 Celebrity ,1,0.014301036825169826
 Forums ,1,0.025026814444047196
 Gift Card ,1,0.04290311047550947
 Credit ,1,0.04290311047550947
 Tutoring ,1,0.0321773328566321
 Social Media Marketing ,1,0.1287093314265284
 iOS ,1,0.12155881301394351
 Ediscovery ,1,0.03575259206292456
 Fitness ,1,0.0822309617447265
 Chat ,1,0.07508044333214159
 Film ,1,0.03575259206292456
 Business Information Systems ,0,0.010725777618877368
 Multi-level Marketing ,0,0.0035752592062924565
 Mobile Advertising ,0,0.08580622095101895
 Electric Vehicles ,0,0.007150518412584913
 Homeless Shelter ,0,0.0035752592062924565
 Digital Rights Management ,0,0.0035752592062924565
 Textiles ,0,0.010725777618877368
 Physicians ,0,0.010725777618877368
 Film Production ,0,0.007150518412584913
 Health and Insurance ,0,0.01787629603146228
 Printing ,0,0.021451555237754737
 iPod Touch ,0,0.010725777618877368
 Estimation and Quoting ,0,0.0035752592062924565
 Neuroscience ,0,0.007150518412584913
 Public Safety ,0,0.007150518412584913
 Skill Assessment ,0,0.01787629603146228
 Lighting ,0,0.010725777618877368
 Craft Beer ,0,0.01787629603146228
 Defense ,0,0.010725777618877368
 Taxis ,0,0.014301036825169826
 Geospatial ,0,0.014301036825169826
 Information Security ,0,0.03575259206292456
 Farming ,0,0.0035752592062924565
 Hedge Funds ,0,0.0035752592062924565
 Coworking ,0,0.010725777618877368
 Craigslist Killers ,0,0.014301036825169826
 Data Center Automation ,0,0.0035752592062924565
 Senior Health ,0,0.007150518412584913
 Web Browsers ,0,0.01787629603146228
 Event Management ,0,0.057204147300679305
 Plumbers ,0,0.007150518412584913
 Space Travel ,0,0.0035752592062924565
 Doctors ,0,0.021451555237754737
 High Tech ,0,0.010725777618877368
 Logistics Company ,0,0.0035752592062924565
 Spas ,0,0.007150518412584913
 Meeting Software ,0,0.0321773328566321
 Social Media Management ,0,0.0321773328566321
 Smart Building ,0,0.0035752592062924565
 Privacy ,0,0.03932785126921702
 Google Apps ,0,0.01787629603146228
 Governance ,0,0.0035752592062924565
 Boating Industry ,0,0.007150518412584913
 Real Estate Investors ,0,0.007150518412584913
 Mobile Enterprise ,0,0.014301036825169826
 Vertical Search ,0,0.0035752592062924565
 Mobile Emergency&Health ,0,0.010725777618877368
 App Marketing ,0,0.07865570253843404
 Systems ,0,0.025026814444047196
 Lingerie ,0,0.0035752592062924565
 Teenagers ,0,0.0035752592062924565
 Fraud Detection ,0,0.010725777618877368
 Recipes ,0,0.014301036825169826
 SNS ,0,0.010725777618877368
 Creative Industries ,0,0.007150518412584913
 Algorithms ,0,0.007150518412584913
 Tea ,0,0.007150518412584913
 Enterprise 2.0 ,0,0.0035752592062924565
 English-Speaking ,0,0.010725777618877368
 Entertainment Industry ,0,0.01787629603146228
 Internet TV ,0,0.014301036825169826
 Data Visualization ,0,0.0643546657132642
 Robotics ,0,0.03575259206292456
 Sporting Goods ,0,0.010725777618877368
 Brokers ,0,0.014301036825169826
 Demographies ,0,0.007150518412584913
 Project Management ,0,0.03575259206292456
 Diagnostics ,0,0.0321773328566321
 Collaborative Consumption ,0,0.05005362888809439
 Open Source ,0,0.07865570253843404
 Windows Phone 7 ,0,0.014301036825169826
 High Schools ,0,0.025026814444047196
 Simulation ,0,0.0035752592062924565
 Outdoors ,0,0.007150518412584913
 Video Conferencing ,0,0.021451555237754737
 Mobile Shopping ,0,0.01787629603146228
 Organic ,0,0.010725777618877368
 Video on Demand ,0,0.03575259206292456
 Development Platforms ,0,0.053628888094386845
 Educational Games ,0,0.025026814444047196
 Social Media Platforms ,0,0.01787629603146228
 Corporate Training ,0,0.028602073650339652
 Human Computer Interaction ,0,0.007150518412584913
 Gift Registries ,0,0.0035752592062924565
 Trusted Networks ,0,0.007150518412584913
 Home Decor ,0,0.010725777618877368
 Therapeutics ,0,0.053628888094386845
 Enterprise Resource Planning ,0,0.014301036825169826
 Consumer Behavior ,0,0.0035752592062924565
 Material Science ,0,0.01787629603146228
 Social Recruiting ,0,0.04647836968180193
 Health Care Information Technology ,0,0.12513407222023595
 Funeral Industry ,0,0.0035752592062924565
 Soccer ,0,0.0035752592062924565
 Parking ,0,0.014301036825169826
 Residential Solar ,0,0.0035752592062924565
 Exercise ,0,0.014301036825169826
 IT Management ,0,0.028602073650339652
 Social Media Monitoring ,0,0.03932785126921702
 Specialty Chemicals ,0,0.0035752592062924565
 Data Security ,0,0.06077940650697176
 Domains ,0,0.014301036825169826
 Timeshares ,0,0.0035752592062924565
 Communications Infrastructure ,0,0.03575259206292456
 Handmade ,0,0.007150518412584913
 Gps ,0,0.03575259206292456
 Cloud Management ,0,0.07150518412584912
 RIM ,0,0.0035752592062924565
 Bitcoin ,0,0.12513407222023595
 Consumer Lending ,0,0.0035752592062924565
 Retail Technology ,0,0.03932785126921702
 Mobile Security ,0,0.053628888094386845
 Industrial ,0,0.010725777618877368
 Enterprise Search ,0,0.025026814444047196
 Eyewear ,0,0.0035752592062924565
 Hospitals ,0,0.053628888094386845
 Consumer Internet ,0,0.07865570253843404
 Product Development Services ,0,0.014301036825169826
 Cyber Security ,0,0.0321773328566321
 Advertising Exchanges ,0,0.007150518412584913
 Digital Media ,0,0.2574186628530568
 Mobile Analytics ,0,0.010725777618877368
 Business Productivity ,0,0.021451555237754737
 B2B Express Delivery ,0,0.0035752592062924565
 Bicycles ,0,0.0035752592062924565
 Cars ,0,0.04290311047550947
 Water ,0,0.014301036825169826
 Mobile Coupons ,0,0.010725777618877368
 TV Production ,0,0.0035752592062924565
 College Recruiting ,0,0.007150518412584913
 Food Processing ,0,0.053628888094386845
 Dental ,0,0.014301036825169826
 Electrical Distribution ,0,0.007150518412584913
 Mobile Payments ,0,0.15731140507686808
 Clean Technology IT ,0,0.0035752592062924565
 Interface Design ,0,0.0035752592062924565
 Finance Technology ,0,0.1287093314265284
 Online Video Advertising ,0,0.0321773328566321
 Angels ,0,0.0035752592062924565
 Human Resources ,0,0.16088666428316054
 Subscription Businesses ,0,0.04290311047550947
 Consumers ,0,0.1287093314265284
 Services ,0,0.1465856274579907
 Data Privacy ,0,0.007150518412584913
 Water Purification ,0,0.010725777618877368
 Internet Radio Market ,0,0.010725777618877368
 Specialty Retail ,0,0.010725777618877368
 Concerts ,0,0.028602073650339652
 Career Planning ,0,0.014301036825169826
 Groceries ,0,0.0035752592062924565
 Journalism ,0,0.025026814444047196
 Google Glass ,0,0.0035752592062924565
 Application Platforms ,0,0.0321773328566321
 Embedded Hardware and Software ,0,0.007150518412584913
 Semiconductor Manufacturing Equipment ,0,0.007150518412584913
 Registrars ,0,0.007150518412584913
 Test and Measurement ,0,0.010725777618877368
 Interior Design ,0,0.0035752592062924565
 Indoor Positioning ,0,0.010725777618877368
 Procurement ,0,0.010725777618877368
 Wholesale ,0,0.025026814444047196
 Rapidly Expanding ,0,0.007150518412584913
 Sponsorship ,0,0.010725777618877368
 Data Center Infrastructure ,0,0.007150518412584913
 Commodities ,0,0.0035752592062924565
 Game Mechanics ,0,0.010725777618877368
 Logistics ,0,0.07150518412584912
 Internet Service Providers ,0,0.007150518412584913
 Insurance Companies ,0,0.0035752592062924565
 Film Distribution ,0,0.0035752592062924565
 3D Printing ,0,0.025026814444047196
 Data Integration ,0,0.04290311047550947
 Product Search ,0,0.0035752592062924565
 Risk Management ,0,0.05005362888809439
 Lifestyle Products ,0,0.0035752592062924565
 Alumni ,0,0.0035752592062924565
 Swimming ,0,0.0035752592062924565
 Biotechnology and Semiconductor ,0,0.0035752592062924565
 Product Design ,0,0.01787629603146228
